Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.50288057327271,-1.41949915885925,-1.49369978904724,-1.15232741832733,-1.18377649784088
Afghanistan,AFG,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,9,8,8
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,4.7619047164917,5.7142858505249,4.7619047164917,12.380952835083,12.2641506195068
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,0,1.42857146263123,0,4.7619047164917,4.71698093414307
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,9.5238094329834,11.9047622680664,10.4761905670166,20.9523811340332,20.2830181121826
Afghanistan,AFG,Control of Corruption: Standard Error,CC.STD.ERR,0.15477192401886,0.154592856764793,0.157480105757713,0.182760819792747,0.173320010304451
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.50134539604187,-1.51861417293549,-1.60950922966003,-1.66956210136414,-1.87955236434937
Afghanistan,AFG,Government Effectiveness: Number of Sources,GE.NO.SRC,8,8,7,6,6
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,7.14285707473755,6.66666650772095,5.2380952835083,5.2380952835083,1.88679242134094
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,1.42857146263123,1.42857146263123,1.42857146263123,0.952380955219269,0
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,11.9047622680664,12.380952835083,11.4285717010498,11.4285717010498,8.49056625366211
Afghanistan,AFG,Government Effectiveness: Standard Error,GE.STD.ERR,0.245708838105202,0.245630532503128,0.278781324625015,0.300028264522552,0.284880340099335
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.75326204299927,-2.65240693092346,-2.70263171195984,-2.51853036880493,-2.5508017539978
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,6,6,5,5,5
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,0.471698105335236,0.943396210670471,0.471698105335236,1.41509437561035,0.471698105335236
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,0,0,0,0,0
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,2.35849046707153,2.8301887512207,2.35849046707153,4.24528312683105,4.24528312683105
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.223669990897179,0.237725615501404,0.24160347878933,0.24306446313858,0.240944445133209
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-1.13820362091064,-1.11377799510956,-1.38916301727295,-1.31168210506439,-1.27180624008179
Afghanistan,AFG,Regulatory Quality: Number of Sources,RQ.NO.SRC,9,9,8,6,6
Afghanistan,AFG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,10.4761905670166,10.4761905670166,8.09523773193359,8.09523773193359,8.96226406097412
Afghanistan,AFG,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,6.1904764175415,6.66666650772095,3.80952382087708,3.80952382087708,3.77358484268188
Afghanistan,AFG,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,19.0476188659668,20,12.380952835083,16.1904754638672,18.3962268829346
Afghanistan,AFG,Regulatory Quality: Standard Error,RQ.STD.ERR,0.197536751627922,0.19708089530468,0.214174583554268,0.22888158261776,0.22212877869606
